x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17
-6.062117205381446e-5,-6.071864383938889e-5,-6.101066636217936e-5,-6.149594958509914e-5,-6.217232269526894e-5,-6.303672845300252e-5,-6.408513436194935e-5,-6.531251062913557e-5,-6.671271509085484e-5,-6.827848349684716e-5,-7.000121836720128e-5,-7.187092745657464e-5,-7.387607940032026e-5,-7.600330596048143e-5,-7.823733293153807e-5,-8.056043817996127e-5,-8.295212200790652e-5
-6.062115483663484e-5,-6.071862377329572e-5,-6.101065396851757e-5,-6.14959437161129e-5,-6.217230897866011e-5,-6.303672167612915e-5,-6.408512123049525e-5,-6.531249419321318e-5,-6.671270756381938e-5,-6.827846047717053e-5,-7.000120473285096e-5,-7.187091458056691e-5,-7.38760582821563e-5,-7.600329241437479e-5,-7.823731887691121e-5,-8.05604222778149e-5,-8.295210434151224e-5
6.0621146263871384e-5,6.071864036880872e-5,6.101066446745468e-5,6.149594152772572e-5,6.217232094874999e-5,6.303672110939108e-5,6.408512424643053e-5,6.531248996052934e-5,6.671271398152017e-5,6.827846755958304e-5,7.000119177937517e-5,7.187090358082602e-5,7.387602466219424e-5,7.600329401871279e-5,7.823731276921843e-5,8.056042144526408e-5,8.295209634424378e-5
6.062116323029757e-5,6.071866039167914e-5,6.1010677105066406e-5,6.149594717759153e-5,6.21723354616523e-5,6.30367272276124e-5,6.408513724994957e-5,6.53125061821698e-5,6.671272150876756e-5,6.827848800185645e-5,7.00012054349445e-5,7.1870916674207e-5,7.38760473143998e-5,7.600330756751595e-5,7.823732684329944e-5,8.05604373674794e-5,8.295211400790507e-5
0.12848030752177134,0.12775753654154276,0.1259329771654679,0.12334832549470108,0.12016230963468602,0.11646311250337094,0.11230872632504603,0.10774196431591808,0.1027972048198551,0.0975038885953814,0.09188852205790679,0.08597591027839191,0.07978995624744215,0.07335418465657333,0.06669209203732147,0.05982737607400378,0.05278408031172635
0.1284803137798495,0.12775754470366366,0.1259329783090097,0.12334833037643984,0.12016231211364763,0.11646311354469693,0.11230872943787511,0.10774196785102252,0.1027972075691374,0.09750389009881406,0.09188852228565159,0.08597591106659068,0.07978995768201264,0.07335418639650797,0.06669209380972765,0.05982737768219827,0.052784081639814136
0.12926767198701425,0.12885107341617288,0.12756338289994482,0.12551371360761077,0.12282986785675577,0.11959900236504206,0.11588181190974836,0.11172371762179999,0.10716110266715242,0.10222491786348137,0.09694282783164841,0.09134053698310622,0.08544263632393564,0.07927315855298323,0.07285596263895282,0.0662149973231463,0.05937448214923311
0.12926769542275385,0.12885107403707216,0.1275633874373723,0.1255137262445832,0.12282987551436444,0.11959900388845059,0.1158818192262955,0.1117237259776856,0.10716110863615556,0.10222492012251871,0.09694282910481579,0.09134054072230514,0.08544264126718111,0.0792731635873866,0.07285596696822798,0.06621500049036132,0.059374483989024875
0.13099202653461972,0.13080923696101665,0.13011283929741613,0.12877892786868025,0.12682359803836607,0.12429949981707215,0.1212569642245505,0.11773861111592124,0.11378067558357773,0.10941482841271565,0.10466958708029643,0.09957138958348014,0.0941453866118957,0.08841604894251523,0.08240758974624537,0.07614424139078581,0.06965042421947601
0.13099207120998557,0.1308092421916806,0.1301128535677989,0.12877893181233713,0.1268235987278503,0.12429950569143514,0.1212569745480941,0.11773862093153861,0.11378068088214875,0.10941482892445216,0.1046695922824923,0.09957139723861594,0.09414539437651291,0.08841605505872034,0.08240759323474574,0.07614424201325509,0.06965042615580684
0.13423574650550535,0.1341605369384933,0.13384299073565623,0.1331244644164387,0.13191101462808494,0.1301769026507388,0.12793107682217889,0.12519575164829952,0.12199684833036843,0.11836045561971827,0.11431195669636472,0.10987612451274532,0.105077402000677,0.09994010169739213,0.09448851104799537,0.08874695869777134,0.08273987674743392
0.13423578559148863,0.13416054975171254,0.13384300110563166,0.13312446664589084,0.13191102360200316,0.13017691316696375,0.12793108409947102,0.12519575744409672,0.12199685573561286,0.11836046588871253,0.11431196855209089,0.10987613557332432,0.10507740993395585,0.0999401050696331,0.09448851240175349,0.08874696396288362,0.08273988451726384
0.13975036469938193,0.1397064901492027,0.13953603536864503,0.13914654763488524,0.13843984908396564,0.1373440302470679,0.13581880154284806,0.13384768947023942,0.13142940159572725,0.12857202856010944,0.1252895692386505,0.12159967455139513,0.11752214057644993,0.11307802186338065,0.10828922787008659,0.10317838843281649,0.09776878883903568
0.1397503816188404,0.13970649732082804,0.13953603961261685,0.13914654923461592,0.138439854922146,0.13734403674802195,0.13581880224833992,0.13384769567848007,0.1314294120153523,0.12857204031789823,0.1252895813996116,0.12159968758351931,0.11752215536606012,0.11307803856816111,0.10828924574832453,0.10317840593051911,0.09776880413855632
