tag	karray	ϵs	psi
1	-0.147	-41.75315079629958	2
1	-0.146	-41.389929784142346	2
1	-0.145	-41.02791643562965	2
1	-0.144	-40.66711442028998	2
1	-0.143	-40.30752491863194	2
1	-0.142	-39.949152223511426	2
1	-0.141	-39.591999222851946	2
1	-0.14	-39.23607085145497	2
1	-0.139	-38.881370995219946	2
1	-0.138	-38.52790384361945	2
1	-0.137	-38.17567505533416	2
1	-0.136	-37.824688065812396	2
1	-0.135	-37.47494857369459	2
1	-0.134	-37.12646035150514	2
1	-0.133	-36.7792256625529	2
1	-0.132	-36.43324356468057	2
1	-0.131	-36.088504171829236	2
1	-0.13	-35.74492532013644	2
1	-0.129	-35.40017172888256	2
1	-0.128	-35.03957807494244	2
1	-0.127	-34.68100435439187	2
1	-0.126	-34.326655707953066	2
1	-0.125	-33.976666075270515	2
1	-0.124	-33.631104273209864	2
1	-0.123	-33.29002806336089	2
1	-0.122	-32.95349605491284	2
1	-0.121	-32.62154746898556	2
1	-0.12	-32.29424422555285	2
1	-0.119	-31.971633689457086	2
1	-0.118	-31.653760084653815	2
1	-0.117	-31.340666835833325	2
1	-0.116	-31.032376497288112	2
1	-0.115	-30.728802855820184	2
1	-0.114	-30.42612596273057	2
1	-0.113	-30.10724223965418	2
1	-0.112	-29.787878360758974	2
1	-0.111	-29.469757181371545	2
1	-0.11	-29.152973618338958	2
1	-0.109	-28.837555019661497	2
1	-0.108	-28.523510869307668	2
1	-0.107	-28.210849546056007	2
1	-0.106	-27.899577310265826	2
1	-0.105	-27.589700651247345	2
1	-0.104	-27.281223227435046	2
1	-0.103	-26.97415442629032	2
1	-0.102	-26.66849759196548	2
1	-0.101	-26.36426214467608	2
1	-0.1	-26.06145316441435	2
1	-0.099	-25.760081553344786	2
1	-0.098	-25.46015468060763	2
1	-0.097	-25.16168552566935	2
1	-0.096	-24.864687337490047	2
1	-0.095	-24.56917733834762	2
1	-0.094	-24.27517395482675	2
1	-0.093	-23.98270311346592	2
1	-0.092	-23.691794919840873	2
1	-0.091	-23.402489702064347	2
1	-0.09	-23.11484123646099	2
1	-0.089	-22.828921156631168	2
1	-0.088	-22.54482970506397	2
1	-0.087	-22.26270750187803	2
1	-0.086	-21.982763258348033	2
1	-0.085	-21.705317903162666	2
1	-0.084	-21.430887310920316	2
1	-0.083	-21.160340188519495	2
1	-0.082	-20.89522402318126	2
1	-0.081	-20.638447649808988	2
1	-0.08	-20.39551421020075	2
1	-0.079	-20.17563241747019	2
1	-0.078	-19.987972436768356	2
1	-0.077	-19.833592233775853	2
1	-0.076	-19.70460044139034	2
1	-0.075	-19.592554830997155	2
1	-0.074	-19.492216126777123	2
1	-0.073	-19.400671249344523	2
1	-0.072	-19.31617808713886	2
1	-0.071	-19.237019471889987	2
1	-0.07	-19.04798561219416	2
1	-0.069	-18.773749765812262	2
1	-0.068	-18.50031030183021	2
1	-0.067	-18.228103035613383	2
1	-0.066	-17.957250663563197	2
1	-0.065	-17.687870816402125	2
1	-0.064	-17.420124330088495	2
1	-0.063	-17.154256884974874	2
